image,precision,recall,f1,TP,FP,FN,pos_cells,pred_pos_cells
CIMG0081.JPG,0.35999999280000017,0.8999999550000022,0.5142852914288906,18,32,2,20,50
CIMG0103~2.JPG,0.46428569770408223,0.7222221820987677,0.5652168903595688,13,15,5,18,28
CIMG0063.JPG,0.3846153550295881,0.4545454132231443,0.41666613541726066,5,8,6,11,13
RIMG0075.JPG,0.6363636170798904,0.7241379060642101,0.6774188350680045,21,12,8,29,33
CIMG0757.JPG,0.833333313492064,0.9999999714285723,0.9090903896106606,35,7,0,35,42
CIMG0342~2.JPG,0.9142856881632662,0.6530612111620161,0.7619042576533711,32,3,17,49,35
IMG-20140317-WA0001.jpg,0.7999999200000081,0.34782607183364905,0.4848480330582117,8,2,15,23,10
29032008701.jpg,0.5294117335640156,0.5999999600000027,0.5624994667973179,9,8,6,15,17
p9.jpg,0.6428571275510208,0.7714285493877557,0.7012981872157329,27,15,8,35,42
CIMG0400.JPG,0.6666666296296316,0.4615384437869829,0.5454540371905109,12,6,14,26,18
CIMG0192.JPG,0.7692307396449716,0.6451612695109268,0.7017538651896404,20,6,11,31,26
CIMG0099.JPG,0.7741935234131121,0.5714285578231296,0.6575337399140428,24,7,18,42,31
IMG_20250705_170544521.jpg,0.7631578746537402,0.8285714048979599,0.7945200270222696,29,9,6,35,38
CIMG0107~2.JPG,0.4074073923182447,0.5499999725000013,0.4680845975559655,11,16,9,20,27
DSC00183.JPG,0.3225806347554634,0.8333332638888947,0.4651158550571276,10,21,2,12,31
CIMG0105.JPG,0.4062499873046879,0.6499999675000016,0.4999995073968966,13,19,7,20,32
CIMG0234.JPG,0.868421029778394,0.6734693740108292,0.7586201802090654,33,5,16,49,38
IMG_3858.JPG,0.13333333037037046,0.9999998333333611,0.23529390080754242,6,39,0,6,45
IMG_4174.JPG,0.7142856887755111,0.7142856887755111,0.7142851887758612,20,8,8,28,28
CIMG0100~2.JPG,0.5499999862500004,0.8461538136094686,0.6666661689626922,22,18,4,26,40
100820081692.jpg,0.9999998750000157,0.333333319444445,0.49999959375026765,8,0,16,24,8
DSC00319.JPG,0.558823512975779,0.6785714043367356,0.6129027107184029,19,15,9,28,34
CIMG0002.JPG,0.06666666222222252,0.16666663888889352,0.09523767800626777,1,14,5,6,15
IMG_4173.JPG,0.99999990000001,0.4347825897920613,0.6060601469240705,10,0,13,23,10
CIMG0100.JPG,0.8571427959183717,0.3076922998027616,0.4528297828411947,12,2,27,39,14
CIMG0381~2.JPG,0.44186045484045455,0.7599999696000012,0.558823048010766,19,24,6,25,43
IMG_3418.JPG,0.44444442798353967,0.6315789141274255,0.5217386228737962,12,15,7,19,27
RIMG0081.JPG,0.4374999863281255,0.8235293633218022,0.5714280949607897,14,18,3,17,32
CIMG0060.JPG,0.8260869206049165,0.6129032060353804,0.7037031886148805,19,4,12,31,23
CIMG0092(1).JPG,0.479166656684028,0.9199999632000014,0.6301365186717403,23,25,2,25,48
CIMG0506(1).JPG,0.9999999523809546,0.8399999664000013,0.9130429423443164,21,0,4,25,21
IMG_3393.JPG,0.7368420858725767,0.6999999825000005,0.7179481998688558,28,10,12,40,38
CIMG0190.JPG,0.6428570969387788,0.5624999648437522,0.5999994622226377,9,5,7,16,14
RIMG0047.JPG,0.24999998437500096,0.4999999375000079,0.3333328611116967,4,12,4,8,16
CIMG0015.JPG,0.4782608487712674,0.8461537810650938,0.6111106157410867,11,12,2,13,23
CIMG0065.JPG,0.49999987500003124,0.16666665277777895,0.24999959375053513,2,2,10,12,4
CIMG0104.JPG,0.42424241138659363,0.8749999453125034,0.571428108288548,14,19,2,16,33
RIMG0079.JPG,0.7826086616257103,0.4999999861111115,0.610168995116716,18,5,18,36,23
CIMG0426~2.JPG,0.8695651795841226,0.6666666444444451,0.7547164613744747,20,3,10,30,23
IMG_4158(1).JPG,0.7894736426592819,0.5357142665816333,0.6382973635132649,15,4,13,28,19
CIMG0364.JPG,0.7142856122449125,0.499999950000005,0.5882347404848325,5,2,5,10,7
CIMG0127~2.JPG,0.1818181652892577,0.16666665277777895,0.17391252930200035,2,9,10,12,11
CIMG0138~2.JPG,0.599999880000024,0.2499999791666684,0.3529407197236568,3,2,9,12,5
CIMG0108~2.JPG,0.5238094988662143,0.4399999824000007,0.4782603525525003,11,10,14,25,21
IMG_20250705_121136381~2.jpg,0.6499999837500005,0.8124999746093758,0.7222217083336714,26,14,6,32,40
CIMG0117(1).JPG,0.21276595291987335,0.99999990000001,0.3508768913514092,10,37,0,10,47
p4.jpg,0.0,0.0,0.0,0,9,0,0,9
CIMG0402.JPG,0.9411764152249167,0.5517241189060649,0.6956516776940723,16,1,13,29,17
IMG_3438.JPG,0.49999987500003124,0.24999996875000394,0.33333283333391667,2,2,6,8,4
CIMG0209.JPG,0.9047618832199552,0.863636344008265,0.8837204099516083,38,4,6,44,42
CIMG0672.JPG,0.9999999655172426,0.6904761740362816,0.8169009022022297,29,0,13,42,29
CIMG0113~2.JPG,0.8333332986111125,0.6249999804687506,0.7142851989799279,20,4,12,32,24
RIMG0066.JPG,0.5384614970414233,0.3888888672839518,0.45161238709729945,7,6,11,18,13
IMG_3409.JPG,0.6578947195290864,0.6578947195290864,0.6578942195294665,25,13,13,38,38
IMG_3403.JPG,0.7878787640036738,0.5199999896000003,0.6265055299756886,26,7,24,50,33
CIMG0487.JPG,0.24999999107142887,0.46666663555555765,0.32558092590652543,7,21,8,15,28
IMG_4191.JPG,0.7826086616257103,0.6923076656804744,0.7346933494380731,18,5,8,26,23
CIMG0914(1).JPG,0.7586206634958391,0.7857142576530622,0.7719292976303648,22,7,6,28,29
IMG_3361.JPG,0.7333332844444478,0.6111110771604957,0.6666661303952285,11,4,7,18,15
CIMG0107.JPG,0.36842103324099823,0.7777776913580343,0.49999952806159853,7,12,2,9,19
DSC00186.JPG,0.0,0.0,0.0,0,0,5,5,0
CIMG0188.JPG,0.46428569770408223,0.5652173667296797,0.5098034063826422,13,15,10,23,28
IMG_3386.JPG,0.6874999785156257,0.6666666464646471,0.6769225562133876,22,10,11,33,32
CIMG0134.JPG,0.3888888672839518,0.3888888672839518,0.38888836728459464,7,11,11,18,18
IMG_3410(1).JPG,0.8571427959183717,0.33333332407407434,0.47999957760033174,12,2,24,36,14
DSC_0360.JPG,0.35416665928819463,0.8947367950138528,0.5074622650927685,17,31,2,19,48
IMG_3839.JPG,0.39999997333333515,0.3333333148148158,0.3636358457307046,6,9,12,18,15
CIMG0012~2.JPG,0.24999999218750027,0.7999999200000081,0.3809520000003334,8,24,2,10,32
CIMG0162.JPG,0.8666666088888928,0.34210525415512494,0.4905656133858759,13,2,25,38,15
IMG_3348.JPG,0.1666666626984128,0.8749998906250137,0.27999972000024004,7,35,1,8,42
CIMG0017.JPG,0.31578945706371275,0.857142734693895,0.46153803254470044,6,13,1,7,19
CIMG0914.jpg,0.5999999800000007,0.5999999800000007,0.5999994800004174,18,12,12,30,30
p25.jpg,0.3225806347554634,0.5263157617728547,0.3999995128005534,10,21,9,19,31
CIMG0083(1).JPG,0.5714285578231296,0.9599999616000015,0.7164174212522534,24,18,1,25,42
CIMG0230~2.JPG,0.3404255246717974,0.8888888395061756,0.4923072766867107,16,31,2,18,47
CIMG0236.JPG,0.8043478086011346,0.8809523599773248,0.8409085728308751,37,9,5,42,46
DSC00095.JPG,0.7499999375000053,0.4499999775000011,0.5624994960941389,9,3,11,20,12
IMG_3372.JPG,0.8461537810650938,0.49999997727272827,0.6285709257146308,11,2,11,22,13
CIMG0120(1).JPG,0.4782608487712674,0.6874999570312527,0.5641020512824663,11,12,5,16,23
IMG_3653.JPG,0.6666665925926009,0.28571427210884415,0.3999995533337654,6,3,15,21,9
CIMG0035.JPG,0.14285713265306196,0.399999920000016,0.21052590581786765,2,12,3,5,14
IMG_3410.JPG,0.8749999453125034,0.3589743497698885,0.5090904780168577,14,2,25,39,16
CIMG0257.JPG,0.499999950000005,0.3571428316326549,0.416666145833901,5,5,9,14,10
CIMG0139~2.JPG,0.799999840000032,0.17391303591682453,0.2857139719390487,4,1,19,23,5
CIMG0067.JPG,0.7499999765625008,0.6315789307479229,0.685713769796278,24,8,14,38,32
IMG_3370.JPG,0.9374999414062536,0.6818181508264477,0.7894731551249556,15,1,7,22,16
CIMG0569(1).JPG,0.9130434385633287,0.7499999732142867,0.8235288842755774,21,2,7,28,23
CIMG0224~2.JPG,0.9032257773152975,0.5833333211805558,0.7088602647014897,28,3,20,48,31
CIMG0225.JPG,0.2745097985390236,0.8749999453125034,0.4179100717312063,14,37,2,16,51
IMG_3569(1).JPG,0.39999996000000404,0.57142848979593,0.4705876955022316,4,6,3,7,10
CIMG0975.JPG,0.57142848979593,0.44444439506173394,0.49999944531299034,4,3,5,9,7
CIMG0029.JPG,0.07692307100591762,0.33333322222225925,0.12499967968819582,1,12,2,3,13
IMG_3406.JPG,0.7222222021604945,0.7027026837107383,0.7123282477016087,26,10,11,37,36
